Date,Content,Created by,Labels,Reach,Completion rate (%),Video replays,Watched fully,Engagement,Engagement rate per impression (%),Engagement rate per reach (%),Impressions,Url
07/01/2024 01:30 PM EST -0500,🤔¿Acaso el movimiento antiespecista y el movimiento LGBTIQ+ tienen alguna coincidencia?  🏳️‍🌈🌱Nuestras amigas de @mexfamac nos cuentan desde su experiencia y punto de vista por qué sí y cómo se relacionan.  #pride #lgbtiq #pridemonth #veganismo,,,666,11.7,95,17,35,4.6,5.3,761,https://www.tiktok.com/@genv_esp/video/7386736603097484577?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
07/02/2024 02:49 PM EST -0500,🐷🐮🐰 Imagina si todas las personas donáramos aunque sea un peso para ayudar a los animales... ¡Los santuarios nos necesitan!  👇🏽Aquí te dejamos toda la información para donar a @Granjita TyH: https://gofund.me/ed0c6341 #donacion #donar #dona #santuarios #refugios #animales #veganismo #vegan,,,715,17.0,107,24,115,14.0,16.1,822,https://www.tiktok.com/@genv_esp/video/7387127878196006177?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
07/04/2024 06:50 PM EST -0500,¿Te hiciste vegan y no sabes qué prendas son aptas? ¿Quieres dejar de vestirte con pieles y cuero? ¡Aquí te dejamos toda la info para que decidas tus próximos outfits!  👇🏽Entra a nuestra web para leer el blog sobre Moda Vegana ⚡️  #moda #pieles #fur #cuero #seda #modavegana ,,,850,23.1,98,41,115,12.1,13.5,948,https://www.tiktok.com/@genv_esp/video/7387932132661808416?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
07/10/2024 07:16 PM EST -0500,"⚡️Aquí te presentamos a una de las integrantes de la equipa de GenV. Jac es copywriter y traductora, y hace 6 años que es vegana. 🌱¿Qué le preguntarías a Jac? (Se aceptan elogios al gatito Ziggy🐱).    #genv #equipa #vegan #holagenv #generacionvegana",,,815,17.9,108,43,60,6.5,7.4,923,https://www.tiktok.com/@genv_esp/video/7390165066600992033?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
07/11/2024 08:41 PM EST -0500,"⚡️¡Qué difícil ser vegan y salir con alguien no-vegan! ¿Verdad? Bueno, o no tanto... depende de cómo lo encaremos. Acá charlamos con Jess, nuestra directora en Latinoamérica, que está casada hace muchos años con una persona no vegana. Nos cuenta su experiencia para que tengamos más herramientas en una situación así.  💚¿Qué más le preguntarías a Jess? 👇🏽  Puedes encontrar el live completo en nuestro Instagram  ✨ #parejas #vegancouples #parejasveganas #veganismo #genv #generacionvegana ",,,754,23.5,109,77,66,7.6,8.8,863,https://www.tiktok.com/@genv_esp/video/7390558558003203361?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
07/15/2024 06:27 PM EST -0500,"🧡¿Qué sería de nosotras sin Laura? Nuestra gerenta de marketing en LATAM es una incansable activista por numerosas causas sociales, y es una pieza fundamental en la lucha del movimiento antiespecista en Latinoamérica.  👇🏽¿Qué te gustaría preguntarle a Laura? 🌱No te olvides de recomendarnos con quiénes quisieras que hiciéramos colaboraciones 🐷  #equipa #genv #vegan #veganismo ",,,693,16.7,88,22,44,5.6,6.3,781,https://www.tiktok.com/@genv_esp/video/7392008243855248672?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
07/17/2024 01:11 PM EST -0500,"🤔¿Sabías que existen los tatuajes veganos? Sí. Son todos aquellos que se hacen sin utilizar tintas de origen animal o productos en el proceso de tatuaje que hayan sido testeados.  👇🏽En este Día Internacional del Tatuaje, te recomendamos algunxs tatuadorxs vegans.  ¡Ayúdanos a agregar más a la lista! 💚  #vegantattoo #tattoo #tatuaje #vegan #genv ",,,429,19.3,57,17,85,17.5,19.8,486,https://www.tiktok.com/@genv_esp/video/7392669102634011937?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
07/23/2024 03:09 PM EST -0500,🐳 En este Día Mundial de las Ballenas y los Delfines te compartimos 3 datos curiosos que seguro no sabías... ¿o sí? 🦈  ¿Qué otros datos conoces de estos increíbles animales? ¡Te leemos!  #ballena #delfin #whale #dolphin #vegan #veganismo #animalesmarinos #vidamarina #genv ,,,622,25.1,79,55,62,8.8,10.0,701,https://www.tiktok.com/@genv_esp/video/7394926017602948384?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
07/24/2024 00:10 PM EST -0500,"⚡️Así trabaja la equipa de GenV para mantener a sus compañeros... Trabajo y más trabajo y ellos descansando... bueno, se lo merecen 💚 ¿Tú también trabajas para mantener a tus compañeritos de 4 patas?  #genv #equipagenv #perros #gatos #trabajo",,,645,25.3,86,49,35,4.8,5.4,731,https://www.tiktok.com/@genv_esp/video/7395250939612892449?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
07/26/2024 11:08 AM EST -0500,"✊🏾Hoy es el día del amigo... digo... del tofu. Perdón. Lo que pasa es que para las veganas, el tofu es como un amigo.  ⚡️TOFU+CHILE: No te pierdas esta receta deliciosa, rápida y fácil para incorporar en tu dieta. ¿Qué otra receta de tofu conoces?👇🏽  #tofu #chile #chilenegro #recetavegana #receta #genv #diamundialdeltofu #worldtofuday  ",,,592,24.1,111,60,48,6.8,8.1,703,https://www.tiktok.com/@genv_esp/video/7395977066342026528?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
