Entity,Code,Year,Midpoint,Upper bound,Lower bound
El Salvador,SLV,2016,258629600,373391230,143867980
Equatorial Guinea,GNQ,2016,107233200,154746370,59720040
Eritrea,ERI,2016,51158090,75238904,27077276
Estonia,EST,2016,2387659800,2527598800,2247721000
Eswatini,SWZ,2016,1130092.8,1623030.1,637155.5
Ethiopia,ETH,2016,389073250,558079400,220067070
Europe,,2016,163779900000,219795520000,107764285000
European Union (27),,2016,85117230000,107050040000,63184417000
Falkland Islands,FLK,2016,299264400,513504030,85024730
Faroe Islands,FRO,2016,2700877000,3945877500,1455876700
Fiji,FJI,2016,466685570,682318300,251052880
Finland,FIN,2016,1897416000,2453944800,1340887000
France,FRA,2016,2392293000,3588275200,1196311000
French Guiana,GUF,2016,47464720,68167160,26762282
French Polynesia,PYF,2016,84874664,122121816,47627516
French Southern Territories,ATF,2016,1433288.5,2058477.4,808099.6
Gabon,GAB,2016,630600960,1012048300,249153620
Gambia,GMB,2016,1000649000,1735651000,265647090
Georgia,GEO,2016,1878442500,3182425600,574459460
Germany,DEU,2016,3404908500,4387188000,2422628900
Ghana,GHA,2016,6271364000,9740554000,2802174000
Gibraltar,GIB,2016,18375.492,26390.734,10360.251
Greece,GRC,2016,1520382800,2428113700,612652100
Greenland,GRL,2016,865392400,1284331000,446453730
Grenada,GRD,2016,10012201,14355935,5668466.5
Guadeloupe,GLP,2016,78504530,112740860,44268184
Guam,GUM,2016,1539638.4,2230442,848834.7
Guatemala,GTM,2016,56891784,82456730,31326838
Guinea,GIN,2016,1684756100,2660065800,709446460
Guinea-Bissau,GNB,2016,128898830,207033700,50763976
Guyana,GUY,2016,418352600,600897300,235807940
Haiti,HTI,2016,271865400,390450900,153279900
High-income countries,,2016,306969200000,413391420000,200547000000
Honduras,HND,2016,44177050,63666812,24687288
Hong Kong,HKG,2016,2601436200,3774703000,1428169000
Hungary,HUN,2016,30809760,44792900,16826618
Iceland,ISL,2016,13830163000,20694444000,6965883400
India,IND,2016,97055980000,158808870000,35303090000
Indonesia,IDN,2016,106961190000,170924100000,42998284000
Iran,IRN,2016,9508576000,12019332000,6997820400
Iraq,IRQ,2016,445909660,661977600,229841730
Ireland,IRL,2016,1844862700,2381532400,1308193200
Isle of Man,IMN,2016,221720.84,290430.47,153011.2
Israel,ISR,2016,32021836,50752264,13291410
Italy,ITA,2016,4396560400,7121823000,1671297900
Jamaica,JAM,2016,226075540,324687870,127463210
Japan,JPN,2016,37007733000,48186225000,25829243000
Jordan,JOR,2016,9683332,13973923,5392740
Kazakhstan,KAZ,2016,250376200,360685300,140067070
Kenya,KEN,2016,1547783400,2224094700,871472000
Kiribati,KIR,2016,101079000,159771520,42386476
Kuwait,KWT,2016,44592000,60422716,28761288
Kyrgyzstan,KGZ,2016,801605.9,1452812.5,150399.3
Laos,LAO,2016,772487800,1109441400,435534180
Latvia,LVA,2016,5022425000,7296848000,2748002600
Lebanon,LBN,2016,54406988,83594456,25219520
Lesotho,LSO,2016,503305.47,724040.1,282570.8
Liberia,LBR,2016,256437250,404744830,108129680
Libya,LBY,2016,400921600,615929340,185913870
Lithuania,LTU,2016,3408372700,5438995000,1377750300
Low-income countries,,2016,36354826000,54331190000,18378460000
Lower-middle-income countries,,2016,496752160000,792556800000,200947530000
Macao,MAC,2016,18743002,26918548,10567456
Madagascar,MDG,2016,1668296800,2395687400,940906300
Malawi,MWI,2016,1908164900,2740500500,1075829100
Malaysia,MYS,2016,24409235000,36292678000,12525791000
Maldives,MDV,2016,272692670,398155600,147229730
Mali,MLI,2016,1186595100,2013213200,359976960
Malta,MLT,2016,8359226,12835977,3882475.5
Marshall Islands,MHL,2016,63054140,94299860,31808426
Martinique,MTQ,2016,78137760,112217740,44057776
Mauritania,MRT,2016,16525993000,31238380000,1813607300
Mauritius,MUS,2016,118288880,177443800,59133960
Mayotte,MYT,2016,20910380,30537034,11283727
Mexico,MEX,2016,19255992000,26255143000,12256844000
Micronesia (country),FSM,2016,150241550,217610340,82872776
Moldova,MDA,2016,380486.06,523856.22,237115.9
Monaco,MCO,2016,18375.492,26390.734,10360.251
Mongolia,MNG,2016,1444313.8,2074311.8,814315.75
Montenegro,MNE,2016,19706196,26872692,12539699
Montserrat,MSR,2016,644979.8,926314.75,363644.84
Morocco,MAR,2016,14986026000,22182855000,7789197300
Mozambique,MOZ,2016,3314785300,4760895500,1868674800
Myanmar,MMR,2016,35365274000,50791326000,19939226000
