Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~15053686,Home Office+MS Statement Includes Goals,Premier Foods,2021,Yes,https://wikirate.org/~15043131,15053686.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/VujC95sO/2022,2.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/~15496722,Home Office+MS Statement Includes Goals,Premier Foods,2022,Yes,https://wikirate.org/~15400553,15496722.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/C495qVDR/2023,2.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/~20129507,Home Office+MS Statement Includes Goals,Premier Foods,2023,Yes,https://wikirate.org/~19913637,20129507.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/VujC95sO/2024,2.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/~8298129,Home Office+MS Statement Includes Org Structure,Premier Foods,2020,Yes,https://wikirate.org/~8075221,8298129.0,https://www.premierfoods.co.uk/CorporateSite/media/documents/responsibility/modern_slavery/Premier_Foods_Modern_Slavery_Statement_12_May_2021.pdf,2.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/~15045195,Home Office+MS Statement Includes Org Structure,Premier Foods,2021,Yes,https://wikirate.org/~14509894,15045195.0,,3.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/~15450496,Home Office+MS Statement Includes Org Structure,Premier Foods,2022,Yes,https://wikirate.org/~15400553,15450496.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/C495qVDR/2023,2.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/~20004760,Home Office+MS Statement Includes Org Structure,Premier Foods,2023,Yes,https://wikirate.org/~19913637,20004760.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/VujC95sO/2024,2.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/~8312079,Home Office+MS Statement Includes Policies,Premier Foods,2020,Yes,https://wikirate.org/~8075221,8312079.0,https://www.premierfoods.co.uk/CorporateSite/media/documents/responsibility/modern_slavery/Premier_Foods_Modern_Slavery_Statement_12_May_2021.pdf,2.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/~15046926,Home Office+MS Statement Includes Policies,Premier Foods,2021,Yes,https://wikirate.org/~15043131,15046926.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/VujC95sO/2022,2.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/~15459870,Home Office+MS Statement Includes Policies,Premier Foods,2022,Yes,https://wikirate.org/~15400553,15459870.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/C495qVDR/2023,2.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/~20029493,Home Office+MS Statement Includes Policies,Premier Foods,2023,Yes,https://wikirate.org/~19913637,20029493.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/VujC95sO/2024,2.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/~8330902,Home Office+MS Statement Includes Risks Assessment,Premier Foods,2020,Yes,https://wikirate.org/~8075221,8330902.0,https://www.premierfoods.co.uk/CorporateSite/media/documents/responsibility/modern_slavery/Premier_Foods_Modern_Slavery_Statement_12_May_2021.pdf,2.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/~15048603,Home Office+MS Statement Includes Risks Assessment,Premier Foods,2021,Yes,https://wikirate.org/~15043131,15048603.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/VujC95sO/2022,2.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/~15468964,Home Office+MS Statement Includes Risks Assessment,Premier Foods,2022,Yes,https://wikirate.org/~15400553,15468964.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/C495qVDR/2023,2.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/~20055717,Home Office+MS Statement Includes Risks Assessment,Premier Foods,2023,Yes,https://wikirate.org/~19913637,20055717.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/VujC95sO/2024,2.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/~8362916,Home Office+MS Statement Includes Training,Premier Foods,2020,Yes,https://wikirate.org/~8075221,8362916.0,https://www.premierfoods.co.uk/CorporateSite/media/documents/responsibility/modern_slavery/Premier_Foods_Modern_Slavery_Statement_12_May_2021.pdf,2.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/~15051943,Home Office+MS Statement Includes Training,Premier Foods,2021,Yes,https://wikirate.org/~15043131,15051943.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/VujC95sO/2022,2.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/~15487133,Home Office+MS Statement Includes Training,Premier Foods,2022,Yes,https://wikirate.org/~15400553,15487133.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/C495qVDR/2023,2.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/~20104920,Home Office+MS Statement Includes Training,Premier Foods,2023,Yes,https://wikirate.org/~19913637,20104920.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/VujC95sO/2024,2.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/~20144747,Home Office+MS Statement Policies Provisions,Premier Foods,2023,"Freedom of association, Prohibits any threat of violence/ harassment and intimidation, Prohibits the use of worker-paid recruitment fees, Prohibits child labour, Prohibits discrimination",https://wikirate.org/~19913637,20144747.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/VujC95sO/2024,2.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/~20188698,Home Office+MS Statement Social Audit Provisions,Premier Foods,2023,Audit conducted by own staff,https://wikirate.org/~19913637,20188698.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/VujC95sO/2024,2.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/~20156568,Home Office+MS Statement Training Provisions,Premier Foods,2023,"Front line staff, Human resources, Procurement staff",https://wikirate.org/~19913637,20156568.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/VujC95sO/2024,2.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/~20167638,Home Office+MS Statement Working Conditions Engagement,Premier Foods,2023,"Suppliers, Civil society organisations, Professional auditors, Workers within own organization, Businesses in the industry or sector",https://wikirate.org/~19913637,20167638.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/VujC95sO/2024,2.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/~8078889,Business & Human Rights Resource Centre+Modern Slavery Statement,Premier Foods,2020,Yes - UK Modern Slavery Act,https://wikirate.org/~8075221,8078889.0,https://www.premierfoods.co.uk/CorporateSite/media/documents/responsibility/modern_slavery/Premier_Foods_Modern_Slavery_Statement_12_May_2021.pdf,2.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/~14501124,Business & Human Rights Resource Centre+Modern Slavery Statement,Premier Foods,2021,Yes - UK Modern Slavery Act,https://wikirate.org/~14498569,14501124.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/pdf-published/VujC95sO/2022/MODERN SLAVERY STATEMENT - Approved May 22.pdf,1.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/~15429246,Business & Human Rights Resource Centre+Modern Slavery Statement,Premier Foods,2022,Yes - UK Modern Slavery Act,https://wikirate.org/~15415291,15429246.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/pdf-published/C495qVDR/2023/MODERN SLAVERY STATEMENT - 2023 FINAL signed.pdf,1.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/~19939764,Business & Human Rights Resource Centre+Modern Slavery Statement,Premier Foods,2023,Yes - UK Modern Slavery Act,https://wikirate.org/~19893105,19939764.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/pdf-published/VujC95sO/2024/MODERN SLAVERY STATEMENT - 2024.pdf,1.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/Business_Human_Rights_Resource_Centre+Modern_Slavery_Statement+Philipp_Kuehl+Premier_Foods+2020,Business & Human Rights Resource Centre+Modern Slavery Statement+Philipp Kuehl,Premier Foods,2020,10.0,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Business_Human_Rights_Resource_Centre+Modern_Slavery_Statement+Philipp_Kuehl+Premier_Foods+2021,Business & Human Rights Resource Centre+Modern Slavery Statement+Philipp Kuehl,Premier Foods,2021,10.0,,,,,,GB00B7N0K053;US74051J2006
