Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~3173979,Walk Free+MSA Performance Indicators,Tate & Lyle PLC,2016,No,https://wikirate.org/~3153566,3173979.0,,1.0,"We do not have key performance indicators specifically in relation to slavery or human trafficking as any instance would be a non-compliance and breach of employment laws, our direct employment practices, wider Group policies / standards and / or our Code of Ethics Yash Bhatia[https://wikirate.org/Yash_Bhatia].....2017-10-18 11:19:08 UTC",GB00BP92CJ43;US8765707067
https://wikirate.org/Walk_Free+MSA_policy_applicable_beyond_tier_1_binary+Tate_Lyle_PLC+2016,Walk Free+MSA policy applicable beyond tier 1 (binary),Tate & Lyle PLC,2016,No,,,,,,GB00BP92CJ43;US8765707067
https://wikirate.org/Walk_Free+MSA_policy_applicable_to_tier_1_binary+Tate_Lyle_PLC+2016,Walk Free+MSA policy applicable to tier 1 (binary),Tate & Lyle PLC,2016,Yes,,,,,,GB00BP92CJ43;US8765707067
https://wikirate.org/Walk_Free+MSA_Policy_grouped+Tate_Lyle_PLC+2016,Walk Free+MSA Policy (grouped),Tate & Lyle PLC,2016,Direct Supply Chain,,,,,,GB00BP92CJ43;US8765707067
https://wikirate.org/~3174237,Walk Free+MSA policy (revised),Tate & Lyle PLC,2016,Suppliers comply with laws and company’s policies (direct / tier 1),https://wikirate.org/~3153566,3174237.0,,1.0,"Externally, we require our suppliers and other business partners to behave in accordance with the principles and the standards set out in our Code of Ethics Yash Bhatia[https://wikirate.org/Yash_Bhatia].....2017-10-18 11:33:37 UTC",GB00BP92CJ43;US8765707067
https://wikirate.org/~13757184,Walk Free+MSA registry submission,Tate & Lyle PLC,2021,UK Registry submission,https://wikirate.org/~13256142,13757184.0,https://www.tateandlyle.com/sites/default/files/2022-05/modern-slavery-act-statement-fy22.pdf,1.0,,GB00BP92CJ43;US8765707067
https://wikirate.org/~16552698,Walk Free+MSA registry submission,Tate & Lyle PLC,2022,UK Registry submission,https://wikirate.org/~16514738,16552698.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/pdf-published/CD3DuP2T/2023/modern-slavery-act-statement-fy23-final.pdf,1.0,,GB00BP92CJ43;US8765707067
https://wikirate.org/~19982599,Walk Free+MSA registry submission,Tate & Lyle PLC,2023,UK Registry submission,https://wikirate.org/~19881647,19982599.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/pdf-published/CD3DuP2T/2024/2024 Statement on anti-slavery forced and child labour and human trafficking- final.pdf,1.0,,GB00BP92CJ43;US8765707067
https://wikirate.org/Walk_Free+MSA_reporting_threshold+Tate_Lyle_PLC+2021,Walk Free+MSA reporting threshold,Tate & Lyle PLC,2021,Over,,,,,,GB00BP92CJ43;US8765707067
https://wikirate.org/Walk_Free+MSA_reporting_threshold+Tate_Lyle_PLC+2022,Walk Free+MSA reporting threshold,Tate & Lyle PLC,2022,Over,,,,,,GB00BP92CJ43;US8765707067
https://wikirate.org/Walk_Free+MSA_reporting_threshold+Tate_Lyle_PLC+2023,Walk Free+MSA reporting threshold,Tate & Lyle PLC,2023,Over,,,,,,GB00BP92CJ43;US8765707067
https://wikirate.org/~3173936,Walk Free+MSA risk assessment,Tate & Lyle PLC,2016,Use of risk management tool or software,https://wikirate.org/~3153566,3173936.0,,1.0,"The risk of slavery and human trafficking within our own organisation is substantially avoided and mitigated as a result of: the policies, standards, practices and training and awareness programmes that we have in place; the oversight built into our line management structure and business operations; our use of the Sedex social and ethical compliance system (www.sedexglobal.com[http://www.sedexglobal.com]), including external audits of our manufacturing facilities; and, the knowledge and integrity of our staff. Yash Bhatia[https://wikirate.org/Yash_Bhatia].....2017-10-18 11:14:30 UTC",GB00BP92CJ43;US8765707067
https://wikirate.org/Walk_Free+MSA_Risk_assessment_but_none_identified_binary+Tate_Lyle_PLC+2016,Walk Free+MSA Risk assessment but none identified (binary),Tate & Lyle PLC,2016,No,,,,,,GB00BP92CJ43;US8765707067
https://wikirate.org/Walk_Free+MSA_Risk_assessment_categories+Tate_Lyle_PLC+2016,Walk Free+MSA Risk assessment categories,Tate & Lyle PLC,2016,Performs assessment and identifies risks,,,,,,GB00BP92CJ43;US8765707067
https://wikirate.org/Walk_Free+MSA_Risk_Assessment_grouped+Tate_Lyle_PLC+2016,Walk Free+MSA Risk Assessment (grouped),Tate & Lyle PLC,2016,Use of risk management tool or software,,,,,,GB00BP92CJ43;US8765707067
https://wikirate.org/Walk_Free+MSA_risk_assessment_risk_identified_binary+Tate_Lyle_PLC+2016,Walk Free+MSA risk assessment & risk identified (binary),Tate & Lyle PLC,2016,Yes,,,,,,GB00BP92CJ43;US8765707067
https://wikirate.org/Walk_Free+MSA_risk_management_grouped+Tate_Lyle_PLC+2016,Walk Free+MSA risk management (grouped),Tate & Lyle PLC,2016,"Neither (self- reporting), Audits of suppliers (independent)",,,,,,GB00BP92CJ43;US8765707067
https://wikirate.org/~3173850,Walk Free+MSA risk management (revised),Tate & Lyle PLC,2016,Audits of suppliers (independent),https://wikirate.org/~3153566,3173850.0,,1.0,"Points through which this can be known: The risk of slavery and human trafficking within our own organisation is substantially avoided and mitigated as a result of: the policies, standards, practices and training and awareness programmes that we have in place; the oversight built into our line management structure and business operations; our use of the Sedex social and ethical compliance system (www.sedexglobal.com[http://www.sedexglobal.com]), including external audits of our manufacturing facilities; and, the knowledge and integrity of our staff. Yash Bhatia[https://wikirate.org/Yash_Bhatia].....2017-10-18 11:10:55 UTC",GB00BP92CJ43;US8765707067
https://wikirate.org/Walk_Free+MSA_Sector+Tate_Lyle_PLC+2021,Walk Free+MSA Sector,Tate & Lyle PLC,2021,Other,,,,,,GB00BP92CJ43;US8765707067
https://wikirate.org/Walk_Free+MSA_Sector+Tate_Lyle_PLC+2022,Walk Free+MSA Sector,Tate & Lyle PLC,2022,Other,,,,,,GB00BP92CJ43;US8765707067
https://wikirate.org/Walk_Free+MSA_Sector+Tate_Lyle_PLC+2023,Walk Free+MSA Sector,Tate & Lyle PLC,2023,Other,,,,,,GB00BP92CJ43;US8765707067
