Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/Organisation_for_Economic_Cooperation_Development_OECD+Chain_of_Custody_Traceability_Transparency_System_Step_1_C_1+Mitsubishi_Corporation+2018,Organisation for Economic Cooperation & Development (OECD)+Chain of Custody/Traceability/Transparency System (Step 1.C.1),Mitsubishi Corporation,2018,Unknown,,,,,,JP3898400001;JP389840AD95;JP389840AE60;JP389840AF69;JP389840AM94;JP389840AQ33;JP389840BF68;JP389840CF67;JP389840CG90;US6067692060;US6067693050;US6067694041;US606769AG23;US606769AJ61;US606769AK35;USJ43830FD51;USJ43830FH65;USJ43830FJ22
https://wikirate.org/~6098870,Minerals Sourcing+Cobalt Institute Membership,Mitsubishi Corporation,2020,No,https://wikirate.org/~6021702,6098870.0,https://www.cobaltinstitute.org/members-directory.html,1.0,,JP3898400001;JP389840AD95;JP389840AE60;JP389840AF69;JP389840AM94;JP389840AQ33;JP389840BF68;JP389840CF67;JP389840CG90;US6067692060;US6067693050;US6067694041;US606769AG23;US606769AJ61;US606769AK35;USJ43830FD51;USJ43830FH65;USJ43830FJ22
https://wikirate.org/~20266064,Global Reporting Initiative+Collective Bargaining (G4-11),Mitsubishi Corporation,2023,54,https://wikirate.org/~20265908,20266064.0,,1.0,pg184 Matthew noble[https://wikirate.org/Matthew_noble].....2024-11-25 12:41:58 UTC,JP3898400001;JP389840AD95;JP389840AE60;JP389840AF69;JP389840AM94;JP389840AQ33;JP389840BF68;JP389840CF67;JP389840CG90;US6067692060;US6067693050;US6067694041;US606769AG23;US606769AJ61;US606769AK35;USJ43830FD51;USJ43830FH65;USJ43830FJ22
https://wikirate.org/Global_Reporting_Initiative+Collective_bargaining_GRI_102_41+Mitsubishi_Corporation+2023,Global Reporting Initiative+Collective bargaining (GRI 102-41),Mitsubishi Corporation,2023,54,,,,,,JP3898400001;JP389840AD95;JP389840AE60;JP389840AF69;JP389840AM94;JP389840AQ33;JP389840BF68;JP389840CF67;JP389840CG90;US6067692060;US6067693050;US6067694041;US606769AG23;US606769AJ61;US606769AK35;USJ43830FD51;USJ43830FH65;USJ43830FJ22
https://wikirate.org/Commons+Combined_Scope_1_2_and_3_Greenhouse_Gas_Emissions_GHG+Mitsubishi_Corporation+2022,"Commons+Combined Scope 1, 2 and 3 Greenhouse Gas Emissions (GHG)",Mitsubishi Corporation,2022,342084000,,,,,,JP3898400001;JP389840AD95;JP389840AE60;JP389840AF69;JP389840AM94;JP389840AQ33;JP389840BF68;JP389840CF67;JP389840CG90;US6067692060;US6067693050;US6067694041;US606769AG23;US606769AJ61;US606769AK35;USJ43830FD51;USJ43830FH65;USJ43830FJ22
https://wikirate.org/~2664238,"Vasiliki Gkatziaki+Combined Scope 1, 2 and 3 Intensity",Mitsubishi Corporation,2011,5072.28,https://wikirate.org/~1380045,2664238.0,http://www.eio.org.uk/etindex.php?page=overview1&ranking=Global_800,1.0,,JP3898400001;JP389840AD95;JP389840AE60;JP389840AF69;JP389840AM94;JP389840AQ33;JP389840BF68;JP389840CF67;JP389840CG90;US6067692060;US6067693050;US6067694041;US606769AG23;US606769AJ61;US606769AK35;USJ43830FD51;USJ43830FH65;USJ43830FJ22
https://wikirate.org/~2664242,"Vasiliki Gkatziaki+Combined Scope 1, 2 and 3 Intensity",Mitsubishi Corporation,2013,2164.66,https://wikirate.org/~1378076,2664242.0,http://www.eio.org.uk/Global_800_2013.html,1.0,,JP3898400001;JP389840AD95;JP389840AE60;JP389840AF69;JP389840AM94;JP389840AQ33;JP389840BF68;JP389840CF67;JP389840CG90;US6067692060;US6067693050;US6067694041;US606769AG23;US606769AJ61;US606769AK35;USJ43830FD51;USJ43830FH65;USJ43830FJ22
https://wikirate.org/Richard_Mills+Combined_Scope_1_and_2_Greenhouse_Gas_emissions+Mitsubishi_Corporation+2022,Richard Mills+Combined Scope 1 and 2 Greenhouse Gas emissions,Mitsubishi Corporation,2022,21264000,,,,,,JP3898400001;JP389840AD95;JP389840AE60;JP389840AF69;JP389840AM94;JP389840AQ33;JP389840BF68;JP389840CF67;JP389840CG90;US6067692060;US6067693050;US6067694041;US606769AG23;US606769AJ61;US606769AK35;USJ43830FD51;USJ43830FH65;USJ43830FJ22
https://wikirate.org/Wikirate_SDG_Metric_design+Common_Environmental_Metrics_Reported+Mitsubishi_Corporation+2022,Wikirate SDG Metric design+Common Environmental Metrics Reported,Mitsubishi Corporation,2022,9,,,,,,JP3898400001;JP389840AD95;JP389840AE60;JP389840AF69;JP389840AM94;JP389840AQ33;JP389840BF68;JP389840CF67;JP389840CG90;US6067692060;US6067693050;US6067694041;US606769AG23;US606769AJ61;US606769AK35;USJ43830FD51;USJ43830FH65;USJ43830FJ22
https://wikirate.org/Wikirate_SDG_Metric_design+Common_Environmental_Metrics_Reported+Mitsubishi_Corporation+2023,Wikirate SDG Metric design+Common Environmental Metrics Reported,Mitsubishi Corporation,2023,1,,,,,,JP3898400001;JP389840AD95;JP389840AE60;JP389840AF69;JP389840AM94;JP389840AQ33;JP389840BF68;JP389840CF67;JP389840CG90;US6067692060;US6067693050;US6067694041;US606769AG23;US606769AJ61;US606769AK35;USJ43830FD51;USJ43830FH65;USJ43830FJ22
https://wikirate.org/Wikirate_SDG_Metric_design+Common_Social_Metrics_Reported+Mitsubishi_Corporation+2022,Wikirate SDG Metric design+Common Social Metrics Reported,Mitsubishi Corporation,2022,3,,,,,,JP3898400001;JP389840AD95;JP389840AE60;JP389840AF69;JP389840AM94;JP389840AQ33;JP389840BF68;JP389840CF67;JP389840CG90;US6067692060;US6067693050;US6067694041;US606769AG23;US606769AJ61;US606769AK35;USJ43830FD51;USJ43830FH65;USJ43830FJ22
https://wikirate.org/Wikirate_SDG_Metric_design+Common_Social_Metrics_Reported+Mitsubishi_Corporation+2023,Wikirate SDG Metric design+Common Social Metrics Reported,Mitsubishi Corporation,2023,2,,,,,,JP3898400001;JP389840AD95;JP389840AE60;JP389840AF69;JP389840AM94;JP389840AQ33;JP389840BF68;JP389840CF67;JP389840CG90;US6067692060;US6067693050;US6067694041;US606769AG23;US606769AJ61;US606769AK35;USJ43830FD51;USJ43830FH65;USJ43830FJ22
https://wikirate.org/Commons+Company_Category+Mitsubishi_Corporation+2019,Commons+Company Category,Mitsubishi Corporation,2019,M,,,,,,JP3898400001;JP389840AD95;JP389840AE60;JP389840AF69;JP389840AM94;JP389840AQ33;JP389840BF68;JP389840CF67;JP389840CG90;US6067692060;US6067693050;US6067694041;US606769AG23;US606769AJ61;US606769AK35;USJ43830FD51;USJ43830FH65;USJ43830FJ22
https://wikirate.org/Walk_Free+Company_size+Mitsubishi_Corporation+2020,Walk Free+Company size,Mitsubishi Corporation,2020,Large,,,,,,JP3898400001;JP389840AD95;JP389840AE60;JP389840AF69;JP389840AM94;JP389840AQ33;JP389840BF68;JP389840CF67;JP389840CG90;US6067692060;US6067693050;US6067694041;US606769AG23;US606769AJ61;US606769AK35;USJ43830FD51;USJ43830FH65;USJ43830FJ22
https://wikirate.org/Walk_Free+Company_size+Mitsubishi_Corporation+2021,Walk Free+Company size,Mitsubishi Corporation,2021,Large,,,,,,JP3898400001;JP389840AD95;JP389840AE60;JP389840AF69;JP389840AM94;JP389840AQ33;JP389840BF68;JP389840CF67;JP389840CG90;US6067692060;US6067693050;US6067694041;US606769AG23;US606769AJ61;US606769AK35;USJ43830FD51;USJ43830FH65;USJ43830FJ22
https://wikirate.org/GreenDex+Company_size+Mitsubishi_Corporation+2021,GreenDex+Company size,Mitsubishi Corporation,2021,Large,,,,,,JP3898400001;JP389840AD95;JP389840AE60;JP389840AF69;JP389840AM94;JP389840AQ33;JP389840BF68;JP389840CF67;JP389840CG90;US6067692060;US6067693050;US6067694041;US606769AG23;US606769AJ61;US606769AK35;USJ43830FD51;USJ43830FH65;USJ43830FJ22
https://wikirate.org/GreenDex+Company_size+Mitsubishi_Corporation+2023,GreenDex+Company size,Mitsubishi Corporation,2023,Large,,,,,,JP3898400001;JP389840AD95;JP389840AE60;JP389840AF69;JP389840AM94;JP389840AQ33;JP389840BF68;JP389840CF67;JP389840CG90;US6067692060;US6067693050;US6067694041;US606769AG23;US606769AJ61;US606769AK35;USJ43830FD51;USJ43830FH65;USJ43830FJ22
https://wikirate.org/~5766244,Minerals Sourcing+Company Type,Mitsubishi Corporation,2019,Downstream,https://wikirate.org/~5760170,5766244.0,,1.0,,JP3898400001;JP389840AD95;JP389840AE60;JP389840AF69;JP389840AM94;JP389840AQ33;JP389840BF68;JP389840CF67;JP389840CG90;US6067692060;US6067693050;US6067694041;US606769AG23;US606769AJ61;US606769AK35;USJ43830FD51;USJ43830FH65;USJ43830FJ22
https://wikirate.org/World_Benchmarking_Alliance+Core_Social_Indicators+Mitsubishi_Corporation+2023,World Benchmarking Alliance+Core Social Indicators,Mitsubishi Corporation,2023,2.125,,,,,,JP3898400001;JP389840AD95;JP389840AE60;JP389840AF69;JP389840AM94;JP389840AQ33;JP389840BF68;JP389840CF67;JP389840CG90;US6067692060;US6067693050;US6067694041;US606769AG23;US606769AJ61;US606769AK35;USJ43830FD51;USJ43830FH65;USJ43830FJ22
https://wikirate.org/Core+Country+Mitsubishi_Corporation+2019,Core+Country,Mitsubishi Corporation,2019,Japan,,,,,,JP3898400001;JP389840AD95;JP389840AE60;JP389840AF69;JP389840AM94;JP389840AQ33;JP389840BF68;JP389840CF67;JP389840CG90;US6067692060;US6067693050;US6067694041;US606769AG23;US606769AJ61;US606769AK35;USJ43830FD51;USJ43830FH65;USJ43830FJ22
https://wikirate.org/GreenDex+Country+Mitsubishi_Corporation+2019,GreenDex+Country,Mitsubishi Corporation,2019,Japan,,,,,,JP3898400001;JP389840AD95;JP389840AE60;JP389840AF69;JP389840AM94;JP389840AQ33;JP389840BF68;JP389840CF67;JP389840CG90;US6067692060;US6067693050;US6067694041;US606769AG23;US606769AJ61;US606769AK35;USJ43830FD51;USJ43830FH65;USJ43830FJ22
