Answer Page,Metric,Company,Year,Value,Source Page
https://wikirate.org/World_Benchmarking_Alliance+CSI_12_B_Collective_Bargaining_in_Business_Relationships+World_Benchmarking_Alliance_Research_Group+BOPARAN_HOLDINGS_LIMITED+2023,World Benchmarking Alliance+CSI.12.B Collective Bargaining in Business Relationships+World Benchmarking Alliance Research Group,BOPARAN HOLDINGS LIMITED,2023,0.0,
https://wikirate.org/World_Benchmarking_Alliance+CSI_12_Collective_bargaining_fundamentals+BOPARAN_HOLDINGS_LIMITED+2023,World Benchmarking Alliance+CSI 12 Collective bargaining fundamentals,BOPARAN HOLDINGS LIMITED,2023,0.0,
https://wikirate.org/~18471159,World Benchmarking Alliance+CSI.13.A Workforce Age Diversity Disclosure,BOPARAN HOLDINGS LIMITED,2023,No,https://wikirate.org/~18088734
https://wikirate.org/~18471774,World Benchmarking Alliance+CSI.13.B Workforce Gender Diversity Disclosure,BOPARAN HOLDINGS LIMITED,2023,No,https://wikirate.org/~18088734
https://wikirate.org/~18472389,World Benchmarking Alliance+CSI.13.C Workforce Race Diversity Disclosure,BOPARAN HOLDINGS LIMITED,2023,No,https://wikirate.org/~18088734
https://wikirate.org/~18473004,World Benchmarking Alliance+CSI.13.D Workforce Other Diversity Disclosure,BOPARAN HOLDINGS LIMITED,2023,No,https://wikirate.org/~18088734
https://wikirate.org/World_Benchmarking_Alliance+CSI_13_Workforce_diversity_disclosure_fundamentals+BOPARAN_HOLDINGS_LIMITED+2023,World Benchmarking Alliance+CSI 13 Workforce diversity disclosure fundamentals,BOPARAN HOLDINGS LIMITED,2023,No,
https://wikirate.org/World_Benchmarking_Alliance+CSI_13_Workforce_diversity_disclosure_fundamentals+World_Benchmarking_Alliance_Research_Group+BOPARAN_HOLDINGS_LIMITED+2023,World Benchmarking Alliance+CSI 13 Workforce diversity disclosure fundamentals+World Benchmarking Alliance Research Group,BOPARAN HOLDINGS LIMITED,2023,0.0,
https://wikirate.org/~18473619,World Benchmarking Alliance+CSI.14.A Gender Equality and Women’s Empowerment Commitment,BOPARAN HOLDINGS LIMITED,2023,No,https://wikirate.org/~18088734
https://wikirate.org/~18474236,World Benchmarking Alliance+CSI.14.B Gender Equality and Women’s Empowerment Targets,BOPARAN HOLDINGS LIMITED,2023,No,https://wikirate.org/~18088734
