Website URL,Title,Date,Author,Cover Image URL,Text Chunk,Position Number
https://africaanimalmedia.com/2024/01/07/the-deforestation-and-persistence-killing-of-wild-life-in-akamkpa/,The Deforestation And Persistence Killing of Wild Life In Akamkpa,"January 7, 2024",Ademu Usman Idakwo,https://africaanimalmedia.com/wp-content/uploads/2024/01/F9779FBD-55EF-4BA4-9C7F-01D69BD9A1A7-750x375.jpeg,What a cruel death!,6
https://africaanimalmedia.com/2024/01/07/the-deforestation-and-persistence-killing-of-wild-life-in-akamkpa/,The Deforestation And Persistence Killing of Wild Life In Akamkpa,"January 7, 2024",Ademu Usman Idakwo,https://africaanimalmedia.com/wp-content/uploads/2024/01/F9779FBD-55EF-4BA4-9C7F-01D69BD9A1A7-750x375.jpeg,"According to Macmillan Okon, an indigene of the community who spoke with AFRICA ANIMAL MEDIA, said in recent times animals used to come to the town, especially when the weather is hot to stay under the big trees behind the houses for shelter.",7
https://africaanimalmedia.com/2024/01/07/the-deforestation-and-persistence-killing-of-wild-life-in-akamkpa/,The Deforestation And Persistence Killing of Wild Life In Akamkpa,"January 7, 2024",Ademu Usman Idakwo,https://africaanimalmedia.com/wp-content/uploads/2024/01/F9779FBD-55EF-4BA4-9C7F-01D69BD9A1A7-750x375.jpeg,"He said “Like my daddy’s garden we have killed almost eight Grass Cutters in the last two weeks.
We keep water in a big bowl for them to come and drink, then we hide behind the wall with a big stick once they come and start drinking the water we take on them .”",8
https://africaanimalmedia.com/2024/01/07/the-deforestation-and-persistence-killing-of-wild-life-in-akamkpa/,The Deforestation And Persistence Killing of Wild Life In Akamkpa,"January 7, 2024",Ademu Usman Idakwo,https://africaanimalmedia.com/wp-content/uploads/2024/01/F9779FBD-55EF-4BA4-9C7F-01D69BD9A1A7-750x375.jpeg,"On why the animals were always coming to the village, Okon claimed that they mostly came to drink water because most of the ponds in the forests are now dry because of the falling of the trees that cover the water from the intensity of the sun.",9
https://africaanimalmedia.com/2024/01/07/the-deforestation-and-persistence-killing-of-wild-life-in-akamkpa/,The Deforestation And Persistence Killing of Wild Life In Akamkpa,"January 7, 2024",Ademu Usman Idakwo,https://africaanimalmedia.com/wp-content/uploads/2024/01/F9779FBD-55EF-4BA4-9C7F-01D69BD9A1A7-750x375.jpeg,"The 27-year-old man further narrated that the community is also experiencing the visit of wild animals like Gorillas and big cats.
“But this one, it is the hunters that used to help us by shooting  them to death. Honestly, there are some villages here where people fear going out at night because of gorillas. Some times they are seen walking on the foot path leading houses from the farms without feeling that they run into human .",10
https://africaanimalmedia.com/2024/01/07/the-deforestation-and-persistence-killing-of-wild-life-in-akamkpa/,The Deforestation And Persistence Killing of Wild Life In Akamkpa,"January 7, 2024",Ademu Usman Idakwo,https://africaanimalmedia.com/wp-content/uploads/2024/01/F9779FBD-55EF-4BA4-9C7F-01D69BD9A1A7-750x375.jpeg,Though it has gradually reduced because we engaged the services of the hunters to deal with the situation”. He stated,11
https://africaanimalmedia.com/2024/01/07/the-deforestation-and-persistence-killing-of-wild-life-in-akamkpa/,The Deforestation And Persistence Killing of Wild Life In Akamkpa,"January 7, 2024",Ademu Usman Idakwo,https://africaanimalmedia.com/wp-content/uploads/2024/01/F9779FBD-55EF-4BA4-9C7F-01D69BD9A1A7-750x375.jpeg,Okon’s narration of wild animal’s  threats is one of the consequences of disturbing their habitats.,12
https://africaanimalmedia.com/2024/01/07/the-deforestation-and-persistence-killing-of-wild-life-in-akamkpa/,The Deforestation And Persistence Killing of Wild Life In Akamkpa,"January 7, 2024",Ademu Usman Idakwo,https://africaanimalmedia.com/wp-content/uploads/2024/01/F9779FBD-55EF-4BA4-9C7F-01D69BD9A1A7-750x375.jpeg,They have no place to stay and rest; the water in the ponds in the forests is drying off as a result of exposure to the scorching sun.,13
https://africaanimalmedia.com/2024/01/07/the-deforestation-and-persistence-killing-of-wild-life-in-akamkpa/,The Deforestation And Persistence Killing of Wild Life In Akamkpa,"January 7, 2024",Ademu Usman Idakwo,https://africaanimalmedia.com/wp-content/uploads/2024/01/F9779FBD-55EF-4BA4-9C7F-01D69BD9A1A7-750x375.jpeg,"No more fruits and herbs for them to eat, even though some are carnivorous they may still eat some herbs and fruits but these were plundered away by the timber contractors.",14
https://africaanimalmedia.com/2024/01/07/the-deforestation-and-persistence-killing-of-wild-life-in-akamkpa/,The Deforestation And Persistence Killing of Wild Life In Akamkpa,"January 7, 2024",Ademu Usman Idakwo,https://africaanimalmedia.com/wp-content/uploads/2024/01/F9779FBD-55EF-4BA4-9C7F-01D69BD9A1A7-750x375.jpeg,It was further revealed that the forest guards who are saddled with the responsibility of protecting the forests from being destroyed by the timber contractors are said to be corrupt.,15
https://africaanimalmedia.com/2024/01/07/the-deforestation-and-persistence-killing-of-wild-life-in-akamkpa/,The Deforestation And Persistence Killing of Wild Life In Akamkpa,"January 7, 2024",Ademu Usman Idakwo,https://africaanimalmedia.com/wp-content/uploads/2024/01/F9779FBD-55EF-4BA4-9C7F-01D69BD9A1A7-750x375.jpeg,"Once they catch an offender, he or she will be free upon greasing their palms with money.",16
https://africaanimalmedia.com/2024/01/07/the-deforestation-and-persistence-killing-of-wild-life-in-akamkpa/,The Deforestation And Persistence Killing of Wild Life In Akamkpa,"January 7, 2024",Ademu Usman Idakwo,https://africaanimalmedia.com/wp-content/uploads/2024/01/F9779FBD-55EF-4BA4-9C7F-01D69BD9A1A7-750x375.jpeg,"The Cross Rivers State National Park whose sole responsibility is to conserve biodiversity to sustain conservation has also turned a blind eye or may lack the needed resources to tackle the challenges in the area.
But the time to act is now !!!!",17
https://africaanimalmedia.com/2023/12/26/nigeria-government-urges-to-prosecute-military-officer-for-killing-two-elephants/,Nigeria Government Urges To Prosecute Military Officer For Killing Two Elephants,"December 26, 2023",Ademu Usman Idakwo,https://africaanimalmedia.com/wp-content/uploads/2023/12/3A63CEBF-8EF4-42A9-92E1-513318AD1C3D.png,"By Ademu Usman Idakwo
The Nigerian Veterinary Medical Association, NVMA has called on the Federal Ministry of Agriculture and Food Security to commence an investigation into the brutal killing of two elephant calves in Kala Balge, a Semi-urban Community in Borno State.",1
https://africaanimalmedia.com/2023/12/26/nigeria-government-urges-to-prosecute-military-officer-for-killing-two-elephants/,Nigeria Government Urges To Prosecute Military Officer For Killing Two Elephants,"December 26, 2023",Ademu Usman Idakwo,https://africaanimalmedia.com/wp-content/uploads/2023/12/3A63CEBF-8EF4-42A9-92E1-513318AD1C3D.png,"The President of the association, Dr Moses Arokoyo in a statement in Abuja condemned the brutal killing of wild animals on the 17th of December, 2023.",2
https://africaanimalmedia.com/2023/12/26/nigeria-government-urges-to-prosecute-military-officer-for-killing-two-elephants/,Nigeria Government Urges To Prosecute Military Officer For Killing Two Elephants,"December 26, 2023",Ademu Usman Idakwo,https://africaanimalmedia.com/wp-content/uploads/2023/12/3A63CEBF-8EF4-42A9-92E1-513318AD1C3D.png,"The association also added that it received with embarrassment and deep pain, another report of the killings of two booted eagles that migrated from Europe but met their sad ends in Kebbi and Sokoto states.",3
https://africaanimalmedia.com/2023/12/26/nigeria-government-urges-to-prosecute-military-officer-for-killing-two-elephants/,Nigeria Government Urges To Prosecute Military Officer For Killing Two Elephants,"December 26, 2023",Ademu Usman Idakwo,https://africaanimalmedia.com/wp-content/uploads/2023/12/3A63CEBF-8EF4-42A9-92E1-513318AD1C3D.png,"On the Elephants, the NVMA said the elephants were allegedly killed by a military officer, citing a video posted on social media.",4
https://africaanimalmedia.com/2023/12/26/nigeria-government-urges-to-prosecute-military-officer-for-killing-two-elephants/,Nigeria Government Urges To Prosecute Military Officer For Killing Two Elephants,"December 26, 2023",Ademu Usman Idakwo,https://africaanimalmedia.com/wp-content/uploads/2023/12/3A63CEBF-8EF4-42A9-92E1-513318AD1C3D.png,“A military personnel (wearing camouflage) was caught in the act as evident in a viral video circulating across social media platforms committing this cruelty against the young innocent wild animals.,5
https://africaanimalmedia.com/2023/12/26/nigeria-government-urges-to-prosecute-military-officer-for-killing-two-elephants/,Nigeria Government Urges To Prosecute Military Officer For Killing Two Elephants,"December 26, 2023",Ademu Usman Idakwo,https://africaanimalmedia.com/wp-content/uploads/2023/12/3A63CEBF-8EF4-42A9-92E1-513318AD1C3D.png,"” This inhumane act depicts the premeditated and willful termination of a harmless and defenceless creature’s life, it also infringes on the animal’s right to live, which is our duty to protect as veterinarians,” the association stated",6
https://africaanimalmedia.com/2023/12/26/nigeria-government-urges-to-prosecute-military-officer-for-killing-two-elephants/,Nigeria Government Urges To Prosecute Military Officer For Killing Two Elephants,"December 26, 2023",Ademu Usman Idakwo,https://africaanimalmedia.com/wp-content/uploads/2023/12/3A63CEBF-8EF4-42A9-92E1-513318AD1C3D.png,He told the NVMA and the public that the Nigerian National Park Service is already being engaged on the issue to ensure those behind the killing of those animals are brought to book.,7
