email_url,content,type,position,date,emails_sent,open_rate,click_through_rate,delivery_rate,bounce_rate,unsubscribe_rate,spam_rate,share_rate
https://email.milliondollarvegan.com/campaigns/reports/viewCampaign.aspx?d=t&c=C22B83A967BC3523&ID=07F8081F25621E182540EF23F30FEDED&temp=False&tx=0&source=Report,https://i3.createsend1.com/ei/t/5E/5AE/D4C/csimport/PlantBasedTreaty.192534.031418.jpg,image,10,21 Jan 2022,"1,527",0.09,0.01,0.99,0.01,0.01,0.00,0.00
https://email.milliondollarvegan.com/campaigns/reports/viewCampaign.aspx?d=t&c=C22B83A967BC3523&ID=07F8081F25621E182540EF23F30FEDED&temp=False&tx=0&source=Report,"Il Plant Based Treaty è una campagna globale disegnata per porre i sistemi alimentari in cima alla lista delle azioni per contrastare la crisi climatica. Punta a fermare la devastazione su vasta scala di ecosistemi preziosi provocata dagli allevamenti, e promuovere un passaggio a sistemi alimentari più sani, sostenibili e a base vegetale. Stiamo invitando individui (come te!), scienziati, aziende e città intere a sostenere questa chiamata all’azione e a fare pressione sui governi nazionali per concordare un Plant Based Treaty internazionale:",text,11,21 Jan 2022,"1,527",0.09,0.01,0.99,0.01,0.01,0.00,0.00
https://email.milliondollarvegan.com/campaigns/reports/viewCampaign.aspx?d=t&c=C22B83A967BC3523&ID=07F8081F25621E182540EF23F30FEDED&temp=False&tx=0&source=Report,SOSTIENI,text,12,21 Jan 2022,"1,527",0.09,0.01,0.99,0.01,0.01,0.00,0.00
https://email.milliondollarvegan.com/campaigns/reports/viewCampaign.aspx?d=t&c=C22B83A967BC3523&ID=07F8081F25621E182540EF23F30FEDED&temp=False&tx=0&source=Report,https://i6.createsend1.com/ti/t/99/2D6/7D8/225236/footer-logo.png,image,13,21 Jan 2022,"1,527",0.09,0.01,0.99,0.01,0.01,0.00,0.00
https://email.milliondollarvegan.com/campaigns/reports/viewCampaign.aspx?d=t&c=C22B83A967BC3523&ID=07F8081F25621E182540EF23F30FEDED&temp=False&tx=0&source=Report,"A nome di tutta la famiglia MDV, vi auguriamo un veganissimo 2020!",text,14,21 Jan 2022,"1,527",0.09,0.01,0.99,0.01,0.01,0.00,0.00
https://email.milliondollarvegan.com/campaigns/reports/viewCampaign.aspx?d=t&c=C22B83A967BC3523&ID=07F8081F25621E182540EF23F30FEDED&temp=False&tx=0&source=Report,"© 2022 Million Dollar Vegan INC. All Rights ReservedCancella la tua iscrizioneper non ricevere più email da parte nostraMillion Dollar Vegan INC -133 East de la Guerra Street #396,Santa Barbara, CA 93101-2228, U.S.A.",text,15,21 Jan 2022,"1,527",0.09,0.01,0.99,0.01,0.01,0.00,0.00
https://email.milliondollarvegan.com/campaigns/reports/viewCampaign.aspx?d=t&c=C22B83A967BC3523&ID=0A99B5E84764202A2540EF23F30FEDED&temp=False&tx=0&source=Report,https://i1.createsend1.com/ti/t/29/EB4/774/031042/logo.png,image,1,2 May 2020,"61,274",0.03,0.00,0.99,0.01,0.00,0.00,0.00
https://email.milliondollarvegan.com/campaigns/reports/viewCampaign.aspx?d=t&c=C22B83A967BC3523&ID=0A99B5E84764202A2540EF23F30FEDED&temp=False&tx=0&source=Report,https://i1.createsend1.com/ei/t/C5/7CB/2A5/csimport/ES-Header.031148.jpg,image,2,2 May 2020,"61,274",0.03,0.00,0.99,0.01,0.00,0.00,0.00
https://email.milliondollarvegan.com/campaigns/reports/viewCampaign.aspx?d=t&c=C22B83A967BC3523&ID=0A99B5E84764202A2540EF23F30FEDED&temp=False&tx=0&source=Report,"Queridas amigas y amigos,",text,3,2 May 2020,"61,274",0.03,0.00,0.99,0.01,0.00,0.00,0.00
https://email.milliondollarvegan.com/campaigns/reports/viewCampaign.aspx?d=t&c=C22B83A967BC3523&ID=0A99B5E84764202A2540EF23F30FEDED&temp=False&tx=0&source=Report,¡Tenemos grandes noticias! Lanzamos una campaña este fin de semana y estará desplegándose en diez países a lo largo de mayo. Million Dollar Vegan está distribuyendo 100 mil dólares de comida vegana para trabajadores de salud en hospitales y para personas en situaciones vulnerables de nuestras comunidades.,text,4,2 May 2020,"61,274",0.03,0.00,0.99,0.01,0.00,0.00,0.00
